position,analysis_name,item_type,domain,primary_analysis,skip_rule,privacy_class,release_eligibility
1,timestamp,timestamp,provenance,no,never,restricted,blocked
2,consent,consent,eligibility,no,never,restricted,blocked
3,eligible,eligibility,eligibility,no,never,restricted,blocked
4,program_year,single_choice,background,yes,always,restricted,review_required
5,ta_quarters,ordinal,background,yes,always,restricted,review_required
6,git_comfort,ordinal,background,yes,always,restricted,review_required
7,teaching_interest,ordinal,background,yes,always,restricted,review_required
8,resource_seeking,single_choice,resource_ecosystem,yes,always,restricted,review_required
9,current_resources,checkbox,resource_ecosystem,yes,always,restricted,review_required
10,ideal_resource_use,single_choice,resource_ecosystem,yes,always,restricted,review_required
11,desired_features,checkbox,resource_ecosystem,yes,always,restricted,review_required
12,wiki_awareness,single_choice,awareness,yes,always,restricted,review_required
13,awareness_source,single_choice,awareness,yes,always,restricted,review_required
14,wiki_visited,single_choice,usage,yes,always,restricted,review_required
15,consult_frequency,single_choice,usage,yes,always,restricted,review_required
16,consult_when,checkbox,usage,yes,always,restricted,review_required
17,useful_content,checkbox,usage,yes,always,restricted,review_required
18,needs_met,single_choice,usage,yes,always,restricted,review_required
19,needs_reason,single_choice,usage,yes,always,restricted,review_required
20,wished_content,open_text,open_text,no,always,restricted,blocked
21,contributed,single_choice,contribution,yes,always,restricted,review_required
22,noncontribution_reasons,checkbox,contribution,yes,always,restricted,blocked
23,understand_contribution,likert,contribution,yes,always,restricted,review_required
24,contribution_straightforward,likert,contribution,yes,always,restricted,review_required
25,simpler_interface,likert,contribution,yes,always,restricted,review_required
26,training_walkthrough,likert,contribution,yes,always,restricted,review_required
27,wiki_ownership,likert,contribution,yes,always,restricted,review_required
28,future_contribution,open_text,open_text,no,always,restricted,blocked
29,github_use_effect,single_choice,github,yes,always,restricted,review_required
30,github_contribution_effect,single_choice,github,yes,always,restricted,review_required
31,github_advantages,checkbox,github,yes,always,restricted,review_required
32,github_disadvantages,checkbox,github,yes,always,restricted,review_required
33,editathon_awareness,single_choice,editathon,yes,always,restricted,review_required
34,editathon_nonparticipant_reasons,checkbox,editathon,yes,always,restricted,review_required
35,editathon_experience,single_choice,editathon,yes,always,restricted,review_required
36,editathon_improvement,checkbox,editathon,yes,always,restricted,review_required
37,wiki_value,likert,perceived_value,yes,always,restricted,review_required
38,teaching_value,likert,perceived_value,yes,always,restricted,review_required
39,new_tas_value,likert,perceived_value,yes,always,restricted,review_required
40,recommend_wiki,likert,perceived_value,yes,always,restricted,review_required
41,maintain_wiki,likert,perceived_value,yes,always,restricted,review_required
42,change_one,open_text,open_text,no,always,restricted,blocked
43,other_comments,open_text,open_text,no,always,restricted,blocked
