position,analysis_name,role,restricted
1,timestamp,provenance,yes
2,consent,eligibility,no
3,eligible,eligibility,no
4,program_year,background,no
5,ta_quarters,background,no
6,git_comfort,background,no
7,teaching_interest,background,no
8,resource_seeking,resource_ecosystem,no
9,current_resources,resource_ecosystem,yes
10,ideal_resource_use,resource_ecosystem,yes
11,desired_features,resource_ecosystem,yes
12,wiki_awareness,awareness,no
13,awareness_source,awareness,yes
14,wiki_visited,usage,no
15,consult_frequency,usage,no
16,consult_when,usage,yes
17,useful_content,usage,yes
18,needs_met,usage,no
19,needs_reason,usage,yes
20,wished_content,open_text,yes
21,contributed,contribution,no
22,noncontribution_reasons,contribution,yes
23,understand_contribution,contribution,no
24,contribution_straightforward,contribution,no
25,simpler_interface,contribution,no
26,training_walkthrough,contribution,no
27,wiki_ownership,contribution,no
28,future_contribution,open_text,yes
29,github_use_effect,github,no
30,github_contribution_effect,github,no
31,github_advantages,github,yes
32,github_disadvantages,github,yes
33,editathon_awareness,editathon,no
34,editathon_nonparticipant_reasons,editathon,yes
35,editathon_experience,editathon,no
36,editathon_improvement,editathon,yes
37,wiki_value,perceived_value,no
38,teaching_value,perceived_value,no
39,new_tas_value,perceived_value,no
40,recommend_wiki,perceived_value,no
41,maintain_wiki,perceived_value,no
42,change_one,open_text,yes
43,other_comments,open_text,yes
